word,code(s)
KZ-Music,"bebop, classical, country, dixieland, expressionist, folk, gospel, impressionist, jazz, Latin, modernist, neoclassical, neoromantic, pop, popular, punk, R&B, reggae, rock, rock 'n' roll, romantic, soul, accordion, alto, baritone, baritone, bass, bassoon, bugle, celeste, cello, clarinet, coloratura, didgeridoo, double bass, drum set, electric bass, electric guitar, English horn, euphonium, fife, flute, French horn, glockenspiel, guitar, harmonica, harp, horn, hurdy-gurdy, instrument, Jew's harp, koto, lute, marimba, melodica, ney, oboe, ocarina, organ, piano, piano, piccolo, quena, ryuteki, saxophone, soprano, tenor, timpani, trombone, trumpet, tuba, ukulele, viola, violin, whistle, xylophone, yunluo, zither, [instrument] player, member of [musical group], Band, Choir, choir, chorus, duet, Ensemble , nonet, octet, octet, Orchestra, Philharmonic, quartet, quintet, septet, sinfonietta, Symphony, trio, album, aria, concert, concerto, improv, improvisation, musical, opera, operetta, performance, piece, radio, recording, score, single, sonata, song, standard, track"
OccCode-001,"marine engineers and naval architects, architectural drafters, architect, architectural drafter, architects, landscape architects, landscape architect, marine engineers and naval architect"
OccCode-001–003,"drafter, drafters"
OccCode-002,"aerospace engineer, aerospace engineers"
OccCode-003,"electrical technicians, artificial intelligence specialists, solar energy technician, instrumentation technician, electronics technician, instructional designers, telephone design engineer, telephone design engineers, instructional designer, laser and fiber optics technician, artificial intelligence specialist, cam operators, electrical engineers, laser and fiber optics technicians, instrumentation technicians, electronics technicians, energy conservation technician, cam operator, microwave engineer, cad specialists, electrical engineer, electromechanical technicians, cad specialist, electromechanical technician, microwave engineers, electrical technician, office planner, solar energy technicians, telephone central office design engineer, telephone central office design engineers, energy conservation technicians, office planners"
OccCode-005,"foresters, drafter, sanitary engineer, transportation engineers, traffic engineer, civil engineer, sanitary engineers, civil engineering technicians, drafters, civil engineers, highway engineer, highway engineers, forester, civil engineering technician, transportation engineer, traffic engineers"
OccCode-006,"ceramic engineer, ceramic engineers"
OccCode-007,"fluid power technician, drafter, air conditioning and heating technicians, mechanical engineering technicians, mechanical engineer, cam operators, air conditioning and heating technician, cam operator, mining technicians, drafters, air conditioning engineers, air conditioning engineer, mechanical engineers, fluid power technicians, mechanical engineering technician, mining technician"
OccCode-008,"chemical engineers, chemical engineer, chemical technicians, chemical technician"
OccCode-010,"petroleum engineers, safety engineer, automotive exhaust emissions technician, petroleum engineer, petroleum and natural gas exploration and production worker, mining engineers, mining engineer, petroleum and natural gas exploration and production workers, safety engineers, automotive exhaust emissions technicians"
OccCode-010–011,"mining technicians, mining technician"
OccCode-011,"metallurgical technician, metallurgical technicians, metallurgical engineer, metallurgical engineers"
OccCode-012,"fire protection engineer, industrial engineers, industrial hygienist, ergonomist, production, planning, and expediting clerks, cam operators, organizational developer, fire protection engineers, systems analyst, cam operator, safety engineer, manufacturing engineer, industrial engineer, ergonomists, industrial hygienists, systems analysts, safety engineers, organizational developers, manufacturing engineers, office planner, production, planning, and expediting clerk, office planners"
OccCode-013,"agricultural technician, agricultural engineer, agricultural engineers, agricultural technicians"
OccCode-014,"marine engineers and naval architects, drafter, drafters, marine engineers and naval architect"
OccCode-015,"nuclear technician, nuclear engineers, nuclear technicians, nuclear engineer"
OccCode-017,"drafter, commercial artists, drafters, commercial artist"
OccCode-018,"technical support specialist, software trainers, surveyor, surveyor's helper, usability researcher, computer consultant, surveyor's helpers, usability researchers, computer consultants, mining technicians, cartographer, software trainer, surveyors, cartographers, web designer, technical support specialists, webmaster, webmasters, mining technician, web designers"
OccCode-019,"ergonomist, biomedical engineer, biomedical equipment technicians, laser and fiber optics technician, biomedical equipment technician, laser and fiber optics technicians, biomedical engineers, ergonomists, specification writer, specification writers, office planner, office planners"
OccCode-020,"technical support specialist, computer programmers, investment bankers, computer software documentation writers, software trainers, operations research analysts, computer programmer, statisticians, systems engineers, computer software documentation writer, mathematicians, usability researcher, demographers, computer consultant, financial analysts, mathematician, systems analyst, actuarie, usability researchers, demographer, computer consultants, software trainer, investment banker, systems engineer, operations research analyst, statistician, actuaries, web designer, systems analysts, financial analyst, technical support specialists, webmaster, webmasters, web designers"
OccCode-021,"astronomers, astronomer"
OccCode-022,"food processing technicians, food processing technician, food scientist, food scientists, chemical technicians, chemists, chemist, chemical technician"
OccCode-023,"physicists, physicist"
OccCode-024,"hydrologist, ocean technician, hydrologists, geologist, geophysicist, ocean technicians, oceanographer, geologists, oceanographers, geophysicists"
OccCode-025,"meteorologists, meteorologist"
OccCode-029,"crime laboratory technicians, environmental health specialist, geographer, environmentalist, air pollution control technicians, crime laboratory technician, environmental technicians, cartographer, environmentalists, environmental health specialists, cartographers, geographers, air pollution control technician, environmental technician"
OccCode-030,"systems analyst, internet entrepreneurs, internet entrepreneur, systems analysts"
OccCode-033,"computer security engineers, technical support specialist, computer network technicians, e-commerce project managers, network administrator, computer security engineer, network administrators, computer network technician, e-commerce project manager, technical support specialists, quality assurance technician, quality assurance technicia"
OccCode-04,"zoologist, zoologists"
OccCode-040,"foresters, crop scientist, range managers, soil scientists, agronomists, agronomist, horticulturists, wood scientists and technologist, crop scientists, wood scientists and technologists, forester, range manager, soil scientist, horticulturist"
OccCode-040–041,"food scientist, wildlife manager, food scientists, wildlife managers"
OccCode-041,"food processing technicians, microbiologist, pathologist, epidemiologists, zoo administrator, food processing technician, botanist, genetic engineering research scientists, epidemiologist, ocean technician, biochemists, genetic engineering research scientist, zoo administrators, entomologists, pharmacologists, anatomists, ocean technicians, microbiologists, oceanographer, biochemist, pharmacologist, biologist, oceanographers, botanists, biologists, pathologists, entomologist, anatomist"
OccCode-045,"rehabilitation counselor, psychologist, vocational counselor, marketing research workers, employment agent, employment agents, substance abuse counselors, vocational counselors, school counselor, marketing research worker, psychologists, school counselors, rehabilitation counselors, substance abuse counselor"
OccCode-049,"biological technician, biological technicians"
OccCode-050,"marketing research workers, economists, economist, marketing research worker"
OccCode-051,"political scientists, political scientist"
OccCode-052,"historian, historians"
OccCode-054,"criminologists, criminologist, sociologist, sociologists"
OccCode-055,"anthropologists, archaeologists, anthropologist, archaeologist"
OccCode-059,"forensic scientist, demographers, linguist, demographer, linguists, forensic scientists"
OccCode-070,"physician, pathologist, epidemiologists, ophthalmologists, surgeon, epidemiologist, anesthesiologists, psychiatrist, surgeons, ophthalmologist, physicians, psychiatrists, pathologists, anesthesiologist"
OccCode-071,"osteopathic physician, osteopathic physicians"
OccCode-072,"dentists, dentist"
OccCode-073,"pathologist, epidemiologists, veterinarians, veterinarian, zoo administrator, epidemiologist, zoo administrators, pharmacologists, pharmacologist, pathologists"
OccCode-074,"pharmacist, pharmacists, pharmaceutical technician, pharmaceutical technicians"
OccCode-075,"registered nurses, nurse–midwive, registered nurse, nurse–midwives, nurse anesthetist, nurse anesthetists"
OccCode-076,"occupational therapists, physical therapy assistants, occupational therapy assistant, recreational therapist, recreation worker, physical therapy assistant, speech pathologists and audiologist, recreational therapists, speech pathologists and audiologists, physical therapist, recreation workers, occupational therapy assistants, occupational therapist, physical therapists"
OccCode-077,"dietitians and nutritionists, menu planners, dietetic technicians, dietetic technician, dietitians and nutritionist, menu planner"
OccCode-078,"microbiologist, prosthetists and orthotists, cardiac-monitor technicians/perfusionist, dialysis technicians, blood bank technologists, genetic engineering research assistants, radiologic technologists, dental hygienist, medical laboratory technologist, medical laboratory technologists, cardiology technologists, prosthetists and orthotist, radiologic technologist, nuclear medicine technologist, medical laboratory workers, dental hygienists, blood bank technologist, cardiac-monitor technicians/perfusionists, genetic engineering research assistant, dialysis technician, microbiologists, medical laboratory worker, nuclear medicine technologists, cardiology technologist, electroneurodiagnostic technologist, biological technician, biological technicians, electroneurodiagnostic technologists"
OccCode-079,"chiropractors, industrial hygienist, medical record administrator, public health educators, medical record technicians and clerk, medical record technicians and clerks, podiatrist, podiatrists, dental assistant, orthoptist, acupuncturist, inhalation therapists, sanitarian, public health educator, operating room technician, emergency medical technicians, psychiatric aides/technician, inhalation therapist, licensed practical nurses, medical assistants, medical assistant, industrial hygienists, operating room technicians, optometrists, physician assistant, psychiatric aides/technicians, medical physicists, medical record administrators, dental assistants, licensed practical nurse, emergency medical technician, sanitarians, optometric assistants, physician assistants, chiropractor, acupuncturists, orthoptists, optometrist, optometric assistant, medical physicist"
OccCode-090,"sports management professionals, college teacher, college/university administrator, sports management professional, college teachers, college student personnel workers, college/university administrators, college student personnel worker"
OccCode-090–092,"business and family consumer scientists, business and family consumer scientist"
OccCode-091,"secondary school teachers, secondary school teacher"
OccCode-092,"elementary and preschool teachers, elementary and preschool teacher"
OccCode-096,"dietitians and nutritionists, cooperative extension service workers, business and family consumer scientists, youth organization worker, consumer advocate, family and consumer science researchers, youth organization workers, consumer advocates, business and family consumer scientist, dietitians and nutritionist, cooperative extension service worker, family and consumer science researcher"
OccCode-097,"flight instructors, vocational education teacher, vocational education teachers, flight instructor"
OccCode-099,"college teacher, automobile driving instructors, nannie, teacher's aides, teacher's aide, school administrators, automobile driving instructor, child monitors, adult education worker, college teachers, adult education workers, elementary and preschool teachers, school administrator, secondary school teachers, elementary and preschool teacher, secondary school teacher, child monitor, nannies"
OccCode-099–100,"school media specialist, school media specialists"
OccCode-100,"special librarians, public librarians, museum workers, public librarian, school librarian, museum worker, special librarian, school librarians"
OccCode-101,"armed services careers, armed services career"
OccCode-102,"zoo administrator, museum curators, museum workers, zoo administrators, museum worker, museum curator"
OccCode-109,"genetic engineering research assistants, genetic engineering research assistant"
OccCode-110,"consumer advocate, consumer advocates, internal revenue service workers, internal revenue service worker"
OccCode-110–111,"lawyer, lawyers"
OccCode-111,"judges, judge"
OccCode-119,"paralegal aides, paralegal aide, title examiner, title examiners"
OccCode-120,"religious vocations, religious vocation"
OccCode-131,"advertising copywriter, technical writer, fiction writer, technical writers, fiction writers, scriptwriters, scriptwriter, advertising copywriters"
OccCode-131–132,"journalists, journalist"
OccCode-132,"magazine editor, copy editors, magazine editors, book editors, newspaper editors, book editor, copy editor, newspaper editor"
OccCode-137,"translators and interpreter, translators and interpreters"
OccCode-141,"computer artists, production manager, production managers, graphic designer, medical illustrators, product manager, advertising account executives, art director, commercial artists, artist, cartoonist, product managers, art directors, cad specialists, internet entrepreneurs, computer artist, internet entrepreneur, cad specialist, advertising account executive, graphic designers, medical illustrator, artists, cartoonists, commercial artist"
OccCode-141–142,"production designers, production designer"
OccCode-142,"interior designer, textile designer, industrial designers, floral designer, floral designers, interior designers, textile designers, industrial designer, office planner, office planners"
OccCode-143,"camera operators, camera operator, photographers, photographer"
OccCode-144,"artist, artists"
OccCode-150,"director, directors, actor, actors"
OccCode-151,"dancer, dancers"
OccCode-152,"music video producers, music teachers, music video producer, musician, musicians, music teacher, singers, composer, composers, singer"
OccCode-153,"sports management professionals, swimming instructors, athletic coache, sports instructors, sports instructor, athletic trainers, sports management professional, athletic trainer, swimming instructor, fitness instructor, athletic coaches, fitness instructors, professional athletes, professional athlete"
OccCode-159,"radio and television newscasters, pet care workers, youth organization worker, announcers, recreation worker, announcer, pet care worker, youth organization workers, producer, recreation workers, director, producers, radio and television newscaster, equestrian worker, equestrian workers, directors"
OccCode-160,"﻿accountants, ﻿accountant, auditors, internal revenue service workers, internal revenue service worker, auditor, consumer credit counselors, consumer credit counselor"
OccCode-161,"ergonomist, management consultant analyst, management information systems (mis) professional, organizational developer, systems analyst, ergonomists, systems analysts, management information systems (mis) professionals, organizational developers, management consultant analysts"
OccCode-162,"retail buyer, agricultural technician, purchasing agent, retail buyers, agricultural technicians, purchasing agents, media buyer, media buyers"
OccCode-162–163,"import and export worker, import and export workers"
OccCode-163,"distribution manager, sales manager, marketing director, trade show managers, sales managers, marketing directors, trade show manager, distribution managers"
OccCode-164,"advertising managers, advertising manager, advertising account executives, advertising account executive"
OccCode-165,"public relations managers, public relations worker, public relations workers, public relations manager"
OccCode-166,"employment counselors, personnel administrators, vocational counselor, interviewing clerk, armed services careers, labor relations specialist, compensation specialist, organizational developer, employment counselor, employment agent, robotics technicians, employment agents, interviewing clerks, vocational counselors, executive search recruiter, personnel administrator, college student personnel workers, personnel clerks, robotics technician, compensation specialists, personnel clerk, labor relations specialists, organizational developers, employee benefits manager, employee benefits managers, executive search recruiters, college student personnel worker, armed services career"
OccCode-168,"electrical technicians, claim examiners, customs workers, customs worker, credit officials, government inspectors and examiners, safety engineer, credit official, internal revenue service workers, government inspectors and examiner, federal government workers, federal government worker, internal revenue service worker, claim examiner, safety engineers, electrical technician"
OccCode-169,"underwriter, administrative assistants, management information systems (mis) professional, park ranger, divorce mediator, estimators, underwriters, management information systems (mis) professionals, administrative assistant, park rangers, estimator, data processing managers, divorce mediators, data processing manager"
OccCode-180,"wildlife manager, wildlife managers"
OccCode-182,"construction supervisor, heavy construction contractor, highway inspector, highway contractor, building inspector, building inspectors, highway contractors, heavy construction contractors, construction supervisors, highway inspectors"
OccCode-183,"production manager, production managers, production supervisors, production supervisor"
OccCode-184,"traffic manager, cable television engineer, truck terminal managers, truck terminal manager, airport manager, airport managers, cable television engineers, traffic managers"
OccCode-184–185,"import and export worker, import and export workers"
OccCode-185,"computer database managers, e-commerce project managers, network administrator, store managers, computer database manager, small business owners, network administrators, small business owner, e-commerce project manager, webmaster, webmasters, store manager"
OccCode-186,"underwriter, bank officer, credit officials, bank officers, credit official, office manager, controller, underwriters, property/facilities managers, controllers, office managers, property/facilities manager"
OccCode-187,"restaurant managers, music video producers, sports management professionals, cruise directors, stadium manager, funeral directors, hotel manager, convention specialist, union business agent, home caterer, music video producer, hotel executive housekeeper, health care administrator, recreation worker, food and beverage manager, sports management professional, theater manager, convention specialists, caterer, hospital administrators, stadium managers, casino workers, food and beverage managers, hospital administrator, cruise director, producer, union business agents, casino worker, theater managers, recreation workers, restaurant manager, hotel executive housekeepers, producers, caterers, home caterers, hotel managers, funeral director, health care administrators"
OccCode-188,"postal service workers, postal service worker, internal revenue service workers, federal government workers, federal government worker, internal revenue service worker, city managers, foreign service workers, city manager, foreign service worker"
OccCode-189,"general manager, management consultant analyst, real estate developer, organizational developer, general managers, marketing research workers, marketing director, home security consultants, home security consultant, marketing directors, marketing research worker, organizational developers, management consultant analysts, real estate developers"
OccCode-191,"appraiser, literary and theatrical agents, appraisers, real estate appraisers, real estate appraiser, literary and theatrical agent"
OccCode-193,"merchant marine radio officer, ground radio operators and teletypist, air traffic controller, air traffic controllers, merchant marine radio officers, ground radio operators and teletypists"
OccCode-194,"broadcast technicians, sound technician, sound technicians, broadcast technician"
OccCode-195,"probation officer, geriatric social worker, social workers, marriage and family counselors, marriage and family counselor, geriatric social workers, youth organization worker, recreation worker, parole officer, youth organization workers, aids counselors, probation officers, recreation workers, art and music therapist, aids counselor, parole officers, social worker, art and music therapists"
OccCode-196,"flight instructors, flight instructor, airplane pilot, airplane pilots"
OccCode-197,"merchant marine captain, merchant marine captains, merchant marine engineers and chief engineers, merchant marine engineers and chief engineer, merchant marine pursers, merchant marine purser"
OccCode-198,"railroad conductor, railroad conductors"
OccCode-199,"resume writers, crime laboratory technicians, management consultant analyst, nuclear technician, genetic engineering research assistants, photo researchers, genetic engineering research scientists, organizational developer, crime laboratory technician, urban and regional planner, genetic engineering research scientist, jewelers, outplacement consultant, nuclear technicians, outplacement consultants, genetic engineering research assistant, parking analysts, photo researcher, jeweler, biological technician, resume writer, biological technicians, organizational developers, management consultant analysts, parking analyst, urban and regional planners"
OccCode-201,"legal secretarie, dental and medical secretarie, secretaries, secretarie, dental and medical secretaries, legal secretaries"
OccCode-202,"shorthand reporter, shorthand reporters"
OccCode-203,"keypunch operator, word processors, data entry keyers, data entry keyer, office clerk, word processor, bank clerk, keypunch operators, bank clerks, office clerks"
OccCode-205,"interviewing clerk, interviewing clerks, admitting clerks, admitting clerk, consumer credit counselors, consumer credit counselor"
OccCode-206,"tape librarian, file clerks, tape librarians, file clerk"
OccCode-207–208,"business machine operators, business machine operator"
OccCode-209,"stock clerk, correspondence clerk, word processors, office clerk, proofreaders, word processor, meter reader, correspondence clerks, mail clerks, stock clerks, meter readers, mail clerk, proofreader, office clerks"
OccCode-209–210,"bank clerk, bank clerks"
OccCode-210,"business machine operators, bookkeepers, bookkeeper, business machine operator"
OccCode-211,"railroad clerks, cashier, hospitality cashier, stadium worker, hospitality cashiers, bank teller, cashiers, supermarket worker, bank tellers, supermarket workers, railroad clerk, stadium workers"
OccCode-213,"word processors, word processor, computer operators, computer operator"
OccCode-214–217,"bank clerk, bank clerks"
OccCode-215,"payroll clerks, payroll clerk, meeting planners, meeting planner"
OccCode-215–216,"statistical clerk, statistical clerks"
OccCode-215–217,"business machine operators, business machine operator"
OccCode-216,"bookkeepers, bookkeeper"
OccCode-219,"stock clerk, brokerage clerks, bank clerk, tax preparer, tax preparers, bank clerks, stock clerks, brokerage clerk"
OccCode-221–222,"railroad clerks, expediter, production, planning, and expediting clerks, expediters, railroad clerk, production, planning, and expediting clerk"
OccCode-222,"stock clerk, shipping and receiving clerks, stock clerks, shipping and receiving clerk, warehouse workers, warehouse worker"
OccCode-230,"postal service workers, postal service worker"
OccCode-235,"armed services careers, telephone operator, telephone operators, armed services career"
OccCode-237,"receptionists, receptionist"
OccCode-238,"hotel desk clerks, airline reservations agent, airline ticket agent, airline reservations agents, hotel desk clerk, airline ticket agents"
OccCode-239,"mail service workers, telephone service representatives, electric power service worker, mail service worker, electric power service workers, messenger service workers, messenger service worker, telephone service representative"
OccCode-241,"claim examiners, credit collectors, claim adjuster, credit collector, claim examiner, consumer credit counselors, claim adjusters, consumer credit counselor"
OccCode-243,"postal service workers, postal service worker, court clerks, court clerk"
OccCode-245,"ward clerks, medical record technicians and clerk, medical record technicians and clerks, ward clerk"
OccCode-249,"truck and bus dispatchers, teacher's aides, teacher's aide, bank clerk, bank clerks, consumer credit counselors, truck and bus dispatcher, consumer credit counselor"
OccCode-250,"insurance agents and broker, real estate sales workers and broker, insurance agents and brokers, real estate sales workers and brokers"
OccCode-251,"securities broker, securities brokers"
OccCode-252,"travel agents, corporat, travel agents, corporate, travel agents, incentiv, travel agents, travel agents, incentive, travel agent"
OccCode-253,"telemarketing specialists, telemarketing specialist, telecommunications specialist, telecommunications specialists"
OccCode-259,"direct market broker, media time sales worker, media time sales workers, direct market brokers"
OccCode-260,"food brokers, forest products technicians, food broker, forest products technician"
OccCode-260–262,"wholesale sales workers, wholesale sales worker, retail store sales workers, manufacturers' sales worker, retail store sales worker, manufacturers' sales workers"
OccCode-262,"pharmaceutical detail representatives, pharmaceutical detail representative"
OccCode-269–277,"wholesale sales workers, wholesale sales worker, manufacturers' sales worker, manufacturers' sales workers"
OccCode-270,"retail store sales workers, retail store sales worker"
OccCode-272,"agricultural technician, nursery worker, agricultural supply sales workers, nursery workers, agricultural technicians, agricultural supply sales worker"
OccCode-273,"auto sales workers, car rental agents, car rental agent, auto sales worker"
OccCode-274,"food processing technicians, food processing technician, construction equipment dealer, construction equipment dealers"
OccCode-277,"retail store sales workers, retail store sales worker"
OccCode-279,"wholesale sales workers, wholesale sales worker, door-to-door sales workers, retail store sales workers, manufacturers' sales worker, auto parts counter worker, retail store sales worker, manufacturers' sales workers, auto parts counter workers, door-to-door sales worker"
OccCode-290,"retail store sales workers, supermarket worker, retail store sales worker, supermarket workers"
OccCode-291,"direct sales worker, stadium worker, direct sales workers, stadium workers"
OccCode-291–292,"door-to-door sales workers, door-to-door sales worker"
OccCode-292,"vending machine route workers, route delivery workers, route delivery worker, vending machine route worker"
OccCode-293,"fund-raiser, fund-raisers"
OccCode-294,"auctioneer, auctioneers"
OccCode-295,"equipment rental and leasing service agents, car rental agents, equipment rental and leasing service agent, car rental agent"
OccCode-296,"personal shopper, personal shoppers, comparison shopper, comparison shoppers"
OccCode-297,"sales demonstrators, model, sales demonstrator, models"
OccCode-298,"display worker, display workers"
OccCode-299,"stock clerk, opticians, door-to-door sales workers, information marketing specialists, wedding consultant, wedding consultants, supermarket worker, stock clerks, supermarket workers, optician, information marketing specialist, door-to-door sales worker"
OccCode-301,"gardeners and groundskeeper, child monitors, gardeners and groundskeepers, housekeeper, child monitor, housekeepers"
OccCode-301–309,"homemakers, homemaker"
OccCode-309,"companion, companions"
OccCode-310,"restaurant steward, restaurant stewards, restaurant hosts and hostesse, restaurant hosts and hostesses"
OccCode-311,"waiters and waitresses, dining room attendant, waiters and waitresse, fast food franchise workers, head waiters and waitresses, stadium worker, fast food franchise worker, dining room attendants, cafeteria attendant, cafeteria attendants, stadium workers, head waiters and waitresse"
OccCode-312,"bartender, bartenders"
OccCode-313,"cooks and chef, fast food franchise workers, pastry chefs and baker, fast food franchise worker, pastry chefs and bakers, short order cook, cooks and chefs, short order cooks"
OccCode-315,"cooks and chef, merchant marine stewards and cook, cooks and chefs, merchant marine stewards and cooks"
OccCode-316,"retail butchers, retail butcher, supermarket worker, supermarket workers"
OccCode-317,"fast food franchise workers, fast food franchise worker"
OccCode-318,"pantry supervisors, dishwashers, dishwasher, pantry supervisor"
OccCode-319,"fast food franchise workers, home caterer, fast food franchise worker, caterer, cafeteria attendant, cafeteria attendants, caterers, home caterers"
OccCode-321,"hotel houseworker, hotel houseworkers"
OccCode-323,"hotel houseworker, hotel houseworkers, movers, mover"
OccCode-324,"hotel bellhops and porter, hotel bellhops and porters, doorkeepers, doorkeeper"
OccCode-330,"barbers and hairstylist, barbers and hairstylists"
OccCode-332,"barbers and hairstylist, cosmetologists, barbers and hairstylists, cosmetologist"
OccCode-333,"production designers, production designer"
OccCode-334,"massage therapist, massage therapists"
OccCode-338,"funeral directors, embalmer, embalmers, funeral director"
OccCode-339,"electrologists, electrologist"
OccCode-342,"amusement and recreation attendants, amusement and recreation attendant"
OccCode-344,"ushers, ticket takers, usher, stadium worker, ticket taker, stadium workers"
OccCode-349,"divers, diver, amusement and recreation attendants, amusement and recreation attendant"
OccCode-350,"merchant marine stewards and cook, merchant marine stewards and cooks"
OccCode-352,"social directors, airline flight attendant, social director, airline flight attendants"
OccCode-353,"tour escort, museum workers, tour escorts, museum worker, outdoor guides, outdoor guide"
OccCode-354,"home health aides, home health aide"
OccCode-355,"geriatric aide, nurse's aides and orderlies, nurse's aides and orderlie, hospice workers, geriatric aides, hospice worker"
OccCode-357,"airline baggage and freight handler, airline baggage and freight handlers"
OccCode-359,"personal exercise instructor, party planners, chauffeur, day care worker, day care workers, personal service workers, personal service worker, party planner, personal exercise instructors, chauffeurs, institutional child care worker, institutional child care workers"
OccCode-361,"laundry workers, laundry worker"
OccCode-361–362,"rug and carpet cleaner, rug and carpet cleaners"
OccCode-361–363,"dry cleaning worker, dry cleaning workers"
OccCode-363,"laundry workers, laundry worker"
OccCode-365,"shoe repairers, shoe repairer"
OccCode-369,"dry cleaning worker, rug and carpet cleaner, rug and carpet cleaners, dry cleaning workers, laundry workers, laundry worker"
OccCode-372,"detectives, security guards, corrections officer, security guard, stadium worker, detective, corrections officers, stadium workers"
OccCode-373,"firefighters, firefighter"
OccCode-375,"police officers, crime laboratory technicians, state police officers, fbi special agents, ambulance driver, border patrol agents, ambulance drivers, crime laboratory technician, fbi special agent, state police officer, police officer, federal government workers, federal government worker, border patrol agent"
OccCode-375–376,"detectives, detective"
OccCode-376,"security guards, security guard"
OccCode-377,"police officers, police officer"
OccCode-378,"armed services careers, armed services career"
OccCode-379,"lifeguards, wildlife manager, wildlife managers, lifeguard"
OccCode-381–382,"building custodians, building custodian"
OccCode-383,"pest control workers, pest control worker"
